location,sbert_relevance_score,zeroshot_relevance_score,relevance_score,latitude,longitude
Afghanistan,0.4438838243484497,0.8275003492832184,0.635692086815834,33.7680065,66.2385139
Ajax,0.5965823411941529,0.9236329674720763,0.7601076543331147,43.8505287,-79.0208814
Albania,0.393417477607727,0.9602876782417298,0.6768525779247284,41.000028,19.9999619
Algeria,0.5792842388153077,0.8099842190742492,0.6946342289447784,28.0000272,2.9999825
Amherst,0.399787425994873,0.8875125765800476,0.6436500012874603,42.3731948,-72.5198761
Amsterdam,0.3178235054016113,0.5619811445474625,0.4399023249745369,52.3730796,4.8924534
Angola,0.4257177099585533,0.8779965996742248,0.6518571548163891,-11.8775768,17.5691241
Antwerp,0.1861591227352619,0.6090723395347595,0.3976157311350107,51.2211097,4.3997081
Argentina,0.4274901509284973,0.9768547058105468,0.7021724283695221,-34.9964963,-64.9672817
Armagh,0.1303214844316244,0.7527420282363891,0.44153175633400676,54.3161085,-6.7189182
Armenia,0.3930212065577507,0.8989531040191651,0.6459871552884578,40.7696272,44.6736646
Athens,0.4356528878211975,0.8798734545707703,0.6577631711959839,33.9597677,-83.376398
Atlanta,0.3034306421875953,0.5826554238796234,0.44304303303360937,33.7544657,-84.3898151
Auckland,0.4843453049659729,0.8557203888893128,0.6700328469276429,-36.852095,174.7631803
Augsburg,0.139744209870696,0.7004014253616333,0.42007281761616466,48.3690341,10.8979522
Australia,0.1891110330820083,0.7897258043289185,0.4894184187054634,-24.7761086,134.755
Austria,0.2991840988397598,0.8287005543708801,0.56394232660532,47.59397,14.12456
Baghdad,0.3577794194221496,0.7652177572250366,0.5614985883235931,33.3061701,44.3872213
Baku,0.1954640239477157,0.4971686273813248,0.34631632566452025,40.3755885,49.8328009
Baltimore,0.5481211364269256,0.9360867142677308,0.7421039253473283,39.2908816,-76.610759
Bangkok,0.0596835739910602,0.4946475267410278,0.277165550366044,13.7524938,100.4935089
Bangladesh,0.4947320938110351,0.9728976607322692,0.7338148772716522,24.4769288,90.2934413
Barcelona,0.5733291506767273,0.9939002394676208,0.7836146950721741,41.3825802,2.177073
Bari,0.4113965179771185,0.8802608251571655,0.645828671567142,41.1257843,16.8620293
Basel,0.69354168176651,0.2567542850971221,0.4751479834318161,47.5581077,7.5878261
Beijing,0.1600439026951789,0.6730969190597534,0.41657041087746616,40.190632,116.412144
Beirut,0.5794571876525879,0.9912509202957154,0.7853540539741517,33.8892265,35.5025585
Belgium,0.1637719990685582,0.6647328794002533,0.41425243923440574,50.6402809,4.6667145
Bend,0.4236408948898315,0.9634264945983888,0.6935336947441102,44.0581728,-121.3153096
Berlin,0.1544591352343559,0.5255415320396424,0.3400003336369991,52.510885,13.3989367
Bern,0.4819429576396942,0.9109678030014038,0.696455380320549,46.9484742,7.4521749
Bhutan,0.3104135263711214,0.6631716147065163,0.48679257053881886,27.549511,90.5119273
Bihar,0.6194954991340638,0.9974011778831482,0.808448338508606,25.6440845,85.906508
Birmingham,0.5285962760448456,0.9775668859481812,0.7530815809965135,52.4796992,-1.9026911
Bohemia,0.5150509476661682,0.9920203566551208,0.7535356521606444,40.770609,-73.1200703
