location,sentence 1,sentence 2,sentence 3,sentence 4,sentence 5
Afghanistan,Afghanistan is one of the most dangerous countries in the world.,"It is home to more than 4,000 terrorists and other militants.",Many of these terrorists and other militants have been killed or captured by the U.S.,or coalition forces.,Afghanistan is one of the most dangerous countries in the world for the people of Afghanistan.
Ajax,It is not possible to say that Ajax is a bad idea for the Internet at the moment.,I am not suggesting that Ajax is bad.,Ajax is not a bad guy in the way that the current system of voting or the European Union would be.,"Ajax, as I have said, is a bad guy.",Ajax is not a good guy in the way that the current system of voting or the European Union would be.
Albania,Albania is a republic of about 12 million people.,It has the highest GDP (in the EU) at $6.3 billion.,"Albania is the only country that has a ""novelty"" law, which allows for the establishment of a legal system of production and sales.",The country has an extensive and well-developed tourism industry.,"The country has a highly skilled workforce of over 25,000 people."
Algeria,Algeria is not a country of immigrants or refugees.,"This is because it is a country, not an ethnic group, where the Algerians and Iraqis are a distinct and distinct ethnic group.",The majority of Algerians are from the north-west of France and Algeria is the only country with an Algerian population.,"Algeria is a country of refugees, although it is a country of immigrants, of people who have fled the Algerian war.","The Algerians and Iraqis are not a national group, and they are not refugees in any way."
Amherst,Amber L.,F.,"""Amherst."" (Amherst.) The Amherst, New York, 1837.",Filed Oct.,"The Amherst, New York, 1837."
Amsterdam,A lot of people want to live here.,The Dutch people want to live here.,"The French people have a nice atmosphere and a nice, modern atmosphere.",A lot of people want to live here.,The French people live here.
Angola,The country's economy is a little slicker than the rest of the world.,The economy is still growing at just over a third of its GDP.,"Angola's population is about 50,000 people.",Angola has been involved in war for decades.,"Angola is one of the world's fastest growing countries, with more than 200,000 people."
Antwerp,the Antwerp language is a universal language of the world.,It is the language of the world.,"As a free nation of an empire, we are the most universal of all countries.",It is the language of the world.,We are the people.
Argentina,"Argentina is an important nation that was founded in the 14th century, with a population of around 11 million.","The country has a large population, in a population of around 500,000.",Argentina's political system has been in place since the beginning of the 19th century.,"Argentina has voted for two governments, one for the Left Party (PP), the other for the right.",Argentina has been the most successful democracy in history.
Armagh,The location of the Armagh General Hospital was chosen by the local authorities and the hospital was designed to be a safe and secure place for all patients.,"The hospital was equipped with a wide variety of health and medical equipment including hand tools, dental equipment and surgical equipment.","The facility was a safe and secure and safe facility which provided a safe, secure environment.",The hospital's name was chosen by the local authorities as part of their name recognition process which has been documented in our article.,There is a long tradition of using the local authority's name to ensure that they are in compliance with local legislation.
Armenia,"If Armenia had been invaded by the Soviet Union, it would have been a civil war and not a civil war.","In fact, the most severe ethnic-crimes that have been committed in Armenia since the war of independence in March 1994 had been genocide, and since that war, the Armenian government has been responsible for many of them.","They are just minor facts, and it is not hard to see that the history of the Soviet Union and the Armenian people is much more complicated than that.","But they are important facts, and they are worth writing about.","After the breakup of the Soviet Union, the Armenian people and the political and economic situation were stabilized in the late 1960s and early 1970s."
Athens,A small number of Greeks were not so lucky as some believe.,The number of Greeks was not so small as some think.,The number of Greeks was not so small as some think.,The number of Greeks was not so small as some think.,"There was a Greek capital in Athens, and a few other Greek cities in the Aegean."
Atlanta,Atlanta has a higher population per capita than any other city in the U.S.,"is $27,400, compared to $21,000 for a comparable city in Los Angeles.",city.,"is $44,700, compared to $36,300 for a comparable city in New York.","with a population of over 70,000 people per year."
Auckland,"Auckland is a ""city in the shadow of the sun"".","The only thing that matters to Aucklanders, and for Aucklanders alike, is its location.",It's a word that has come to be used to describe Auckland.,It's a word that speaks to a city.,It's a word that speaks to the community.
Augsburg,"The city was built from a wooded site of about 5,000 feet, and is connected by a canal.",The river is one of only 12 known to exist in this part of Germany.,"There is a river in the middle of the city, the Alschule, which runs at least half a mile downstream of the city center.",There are no railway connections between the cities.,The city is surrounded by an extremely large marsh.
Australia,"""There were no known attacks on Australians in the past three years.","The number of Australians killed in terrorism has not increased more than 15 per cent since 2002.""

So why are the Australian government talking about the ""terrorism"" in this way?

Well, they didn't say that.",A very interesting fact about Australia is that it has been one of the few countries in the world to have a serious Islamic State attack.,"In fact, it has been one of the few countries in the world to have a serious Islamic State attack.","So why is it not more important to have a serious Islamic State attack?

Well, terrorism is often a way to build up a group, a network of people, and so it is a way to set up an internal structure that is not at the point of attacking and that is very vulnerable to attack."
Austria,"In the world, the Austrian people, in the early years of the 20th century, were extremely wealthy and well connected.","They had high educational standards, had a good working relationship with the public, and were in the process of consolidating their economy.",They were highly literate.,The state was a strong state.,It was not the case that the Austrian people had a high educational level and a strong working relationship with the public.
Baghdad,This led to the Iraqi government's decision not to accept the U.S.-backed coalition's invasion of the country.,The U.S.,and Gulf Arab coalition agreed to withdraw its forces in 2005.,"has now lost all control of the Iraqi air force, and the country has become increasingly isolated and isolated from the rest of the world.",The United States is now actively engaged in a conflict with Iraq that is not yet over.
Baku,"""In this country, in the end, it's best to live in poverty.",But poverty is not a part of the economy.,The country is a community.,"People come from all parts of the world, even from the Middle East, but the best place to live is in poverty.""

So if I was a rich guy who grew up in a poor country, I would give Baku to those guys.","But he's an empty, empty name."
Baltimore,Baltimore is a large city in comparison to its neighbors.,"Baltimore has about 1,000,000 inhabitants.","Baltimore's population has about 400,000 inhabitants.",These are the cities you can see with the map.,Baltimore is a city that has 3.5 times the population of Chicago.
Bangkok,The original source is the original text.,The original source is the original sentence.,The original text is not a new translation.,It is the original source.,We must not confuse this with the original source in this case.
Bangladesh,Bangladeshis are not Muslims.,"Bangladeshis were born as Muslims, not as Hindus, and are not Muslims.",Bangladeshis are not born of Bengalis.,Bangladeshis are not Hindus.,Bangladeshis are not Muslims.
Barcelona,The man who has beaten Barcelona this season is the man who has beaten Barcelona in the Champions League.,He is the player who has beaten Barcelona twice.,He is the player who has beaten Barcelona twice.,He is the player who has beaten Barcelona in the Champions League.,He is the player who has beaten Barcelona in the Champions League.
Bari,Bari (the man who lived and died in the mountains of Syria) died in the year of 1135.,The first thing you notice when you read Bari is the number 10.,"You may have noticed that Bari was the last name of a man who died in the year of 1135, which means the year of 1139, which means the year that Bari was born.",This is not quite true.,"The year of 1139, which means that Bari was born in 1145, is a year that means Bari's death in 1135."
Basel,"Basel is not an English language (or English language, as it is known in the UK).","Basel is not an English language, or English language.",Basel is not an English language.,Basel is not an English language.,"Basel is not an English language (or English language, as it is known in the UK)."
Beijing,China is not a member of the WTO.,China did not get rich from WTO trade agreements.,This is true.,"The WTO is a global market, with members from around the world, and other countries.","The WTO deals in ""exchange-value"" terms."
Beirut,Lebanese people lived in the first city of Lebanon after independence.,Lebanese people went to school in Lebanon for the first time.,Lebanese people are born in Lebanon.,Beirut is the only city in Lebanon where the Lebanese flag is a symbol of Lebanese nationality.,Lebanese people live in the first city of Lebanon.
Belgium,"""The other one is true.""

1.","Belgium has a long history of anti-Catholic, anti-Moralistic, and anti-Biblical anti-Semitism.","After all, it's the first Christian state that we have.","The only exceptions to the rule are in France, where the Catholic Church has no problem defending its Christian values.","As it happens, there are a few instances in which the church has attacked the Catholic Church (and in some cases even the Jewish people), and, to some extent, has even used Jewish people in its defense."
Bend,Here is how the Bend Falls (Bend) Falls System works.,"(Including the name of the town!)

Bend Falls is a popular and growing river that flows through Bend Falls.",A variety of things can happen with the Bend Falls system.,These include a change in river flow and some major changes in how the water flows.,The Bend Falls system is a beautiful and exciting area.
Berlin,The German Foreign Office received an e-mail from the Foreign Office in response to a request to verify the authenticity of the e-mail.,The Foreign Office received an e-mail from the foreign office in response to a request to verify the authenticity of the e-mail.,The Foreign Office received an e-mail from the foreign office in response to a request to verify the authenticity of the e-mail.,The Foreign Office received an e-mail from the foreign office in response to a request to verify the authenticity of the e-mail.,"In March, 2013, a request for information was received from the foreign office concerning the identity of the sender of the e-mail."
Bern,"Bern was a member of the American Revolutionary War Veterans Committee

2.","Bern's wife was a woman of African descent

3.",Bern had been a member of the U.S.,"Armed Forces since the 1930s

4.","Bern held a bachelor's degree from the University of Southern California

5."
Bhutan,"The government of Bhutan, the country that ruled Bhutan for 30 years, is now being run by the military of the United States.","This is an old joke, and the original story has been disproven.",The truth is that Bhutan is not a democratic country.,The military is an incompetent entity that has been running the country for almost three decades.,"It is now a puppet government controlled by its own people, with no accountability."
Bihar,"Bihar is very rich: Rs 3.9 crore ($7.5 million)

2.","Bihar's GDP is Rs 1.65 lakh crore, or $2.2 billion in today's dollars.","Bihar has many new and growing roads, hospitals, and cultural centres, and it has good infrastructure.",Bihar has many new and growing schools.,Bihar has many new and growing libraries.
Birmingham,The city is home to many different ethnicities.,"Birmingham, on the other hand, is a large city with many different religions.","Birmingham, on the other hand, is a large city with many different religions.","In fact, the majority of Birmingham's residents are of Arab or Christian descent, and they are predominantly Muslim.","Birmingham, on the other hand, is a large city with many different religions."
