location,text,gpt_text
Afghanistan,"'Nashenas (Pashto/Dari: ناشناس), born as Sadiq Fitrat Habibi, (Pashto/Persian: صادق فطرت) is one of the oldest surviving musicians from '","[""'Abdul Malik Pahlawan is an Uzbek politician based in Faryab Province in northern '"", ""'This garden was built by Maharajah Ranjit Singh in 1813 to celebrate the capture of the famous Koh-i-Noor Diamond from Shah Shujah of '"", ""'His father was a Qazi in the city of Qandahar, as well as being a some-time minister during the reign of Shah Shujah Durrani (1785-1842), King of '""]"
Albania,"'Together with Hekuran Isai , Pali Miska, and Qirjako Mihali he was one of the new generation of leaders within the Party of Labour of '","[""'Gjin Aleksi's Mosque (Albanian: Xhamia e Gjin Aleksit) is a 15th century mosque in the village of Rusan, near Delvinë, '"", ""'he emphasized that Djemo was in fact Albanian nobleman Gjin Muzaki because he assumed that Serbian epic poetry about struggle between Marko Kraljević and Djemo the Mountaneer was based on real struggles between Prince Marko and Muzaka family from '""]"
Algeria,"'Noumérat – Moufdi Zakaria Airport (French: Aéroport de Ghardaïa / Noumérat – Moufdi Zakaria) (IATA: GHA, ICAO: DAUG), also known as Noumerate Airport, is a public airport serving Ghardaïa, the capital of the Ghardaïa Province in '","[""'Rabah Bitat Airport (IATA: AAE, ICAO: DABB), formerly known as Les Salines Airport, and popularly as El Mellah Airport is an international airport located 9 km south of Annaba, a city in '""]"
Amsterdam,"'Roelof Paul Citroen (15 December 1896 – 13 March 1983) was a German-born Dutch artist, art educator and co-founder of the New Art Academy in '","[""'When Montalto died, Saul Levi Morteira went to Paris to recover his body for burial in Beth Haim of Ouderkerk aan de Amstel, one of the Jewish cemeteries in '"", '\'Luxembourg was represented by Dutch singer David Alexandre Winter, with the song \'""Je suis tombé du ciel"", at the 1970 Eurovision Song Contest, which took place on 21 March in \'', ""'Kleiman was born in Koog aan de Zaan, Netherlands and met Otto Frank in 1923, when he was trying to establish a branch of the Michael Frank Bank in '"", ""'The design for the lantern was made by Philips Vingboons, which may have originally been intended for the Town hall now the Royal Palace of '"", ""'José, Josseph or Joseph Penso de la Vega, best known as Josseph de la Vega (ca.1650, Espejo, Spain — November 13, 1692, Amsterdam, Netherlands), was a successful Jewish merchant, poet, and philanthropist residing in 17th century '"", ""'She eventually amassed more than 90 van Gogh paintings and 185 drawings, one of the world's largest collections of the artist's work, second only to the Van Gogh Museum in '"", ""'The painting measures 54 x 65.5 cm (approximately 21-1/4 x 25-3/4 inches) and is housed in the Van Gogh Museum in '"", ""'It is in the Van Gogh Museum in '"", ""'In 2010 the painting was analyzed by digital X-ray and CT scanning to look for information on the artist's working methods and to add to the database at the Van Gogh Museum in '"", ""'The small and undated oil-on-canvas painting featuring a skeleton and cigarette is part of the permanent collection of the Van Gogh Museum in '"", ""'The drawing is in the collection of the Van Gogh Museum, '"", ""'It now resides in the Van Gogh Museum in '"", ""'Van Gogh produced other earlier paintings of Torso of Venus during his stay in Paris, such as the Torso of Venus in 1886, which was exhibited at the Van Gogh Museum in '"", ""'The painting is 73.3 cm × 93.3 cm (28.9 in × 36.7 in) and was on display from 24 September 2013 until 12 January 2014 as part of an exhibition at the Van Gogh Museum in '"", ""'At age ten Sandrart obtained his artistic training from his better-known uncle Joachim von Sandrart in '"", ""'Henrik Bernard Oldenland, a Cape Colony botanist assembled a Herbarium vivum of some 13 volumes which found their way into the possession of Johannes Burman, professor of botany in '""]"
Antwerp,'Alice Nahon (23 August 1896 – 21 May 1933) was a Belgian poet from ',"[""'He was the son of Jacob De Liemaker, a painter upon glass, and is said by Descamps to have been a pupil of Markus Geeraerts the younger, but as the latter joined his father in London in 1580, it is most likely that he studied under Otto van Veen at '"", ""'She studied architecture at the Hoger Instituut voor Architectuurwetenschappen Henry van de Velde in '""]"
Argentina,"'Carlos Meglia (December 11, 1957 – August 15, 2008) was a comic book artist and penciller born in the city of Quilmes, '","[""'Nélida Lobato ([ˈneliða loˈβato]; 1934–1982), was born Haydée Nélida Menta in Buenos Aires, '"", ""'Ernesto Tornquist Provincial Park (Spanish: Parque Provincial Ernesto Tornquist) is a provincial protected area in the south of Buenos Aires Province, mid-eastern '""]"
Athens,"'He was owned by the bankers Antisthenes and Archestratus, who had a bank at the Piraeus, the harbor five miles out of '","[""'Gina Bachauer was born in '"", ""'From 1886 dates the finding of Mycenaean sepulchres outside the Argolid, from which, and from the continuation of Tsountas's exploration of the buildings and lesser graves at Mycenae, a large treasure, independent of Schliemann's princely gift, has been gathered into the National Museum at '"", ""'The Eleftherios Venizelos Museum is a museum in Eleutherias Park, '"", ""'The Provisional Government of National Defence (Greek: Προσωρινή Κυβέρνηση της Εθνικής Αμύνης) was a parallel administration set up in the city of Thessaloniki by former Prime Minister Eleftherios Venizelos and his supporters during World War I, in opposition and rivalry to the official royal government in '""]"
Atlanta,'It was built between 1912 and 1914 by Coca-Cola magnate Asa Griggs Candler of ',"[""'He is the Asa Griggs Candler Professor of Bioethics, the Raymond F. Schinazi Distinguished Research Chair in Jewish Bioethics, a Professor in the Departments of Medicine, Pediatrics, and Sociology, and the Director of the Center for Ethics at Emory University in '"", ""'After the turn of the 20th century, Emory College received a generous monetary and land grant from Asa Griggs Candler, president of The Coca-Cola Company, and moved its operations to Druid Hills, which is adjacent to '"", ""'Southern maintained corporate headquarters in Birmingham with operations headquartered at William B. Hartsfield Airport, near '"", ""'Midwest Express Airlines Flight 105, a Douglas DC-9-14, crashed just after takeoff on 6 September 1985 from General Mitchell Airport, Milwaukee, Wisconsin, US, en route to Hartsfield International in '"", ""'Big Gipp (born Cameron Gipp; April 28, 1973) is an American rapper from '""]"
Auckland,"'Dame Judith Mary Caroline Binney DNZM FRSNZ (née Musgrove, 1 July 1940 – 15 February 2011) was a New Zealand historian, writer and Emeritus Professor of History at the University of '","[""'The album was recorded with David Nicholas (Pulp, Ash, Elton John and INXS) and produced by Hank Linderman (The Beach Boys, Eagles) at Neil Finn's Roundhead Studios in '"", '\'It featured two new recordings ""Geraldine"" and ""Or A Girl I Knew"" which were produced by Neil Finn at Roundhead Studios in \'']"
Augsburg,'Saint Afra (died 304) was a Christian martyr and a saint of ',"[""'He was first instructed by his father, Tobias Querfurt, a landscape and animal painter, and afterwards studied under Rugendas at '""]"
